Date,Price_Baoshan Iron & Steel Stock Price History,Price_Beijing Tongrentang Stock Price History,Price_China Shenhua Energy SH Stock Price History,Price_Huaneng Power International Stock Price History,Price_SAIC Motor Corp Stock Price History
2016-11-07,5.69,31.44,18.2,7.1,23.2
2016-11-08,5.66,31.62,17.7,7.12,23.53
2016-11-09,5.6,31.25,17.69,7.05,23.45
2016-11-10,5.68,31.59,17.7,7.1,23.97
2016-11-11,5.9,31.56,17.78,7.13,23.96
2016-11-14,6.08,31.55,17.69,7.17,23.62
2016-11-15,5.98,31.81,17.25,7.18,23.36
2016-11-16,5.93,31.77,17.2,7.17,23.48
2016-11-17,5.9,31.66,17.31,7.2,23.5
2016-11-18,5.98,31.96,16.95,7.17,23.7
2016-11-21,5.95,32.96,16.99,7.33,23.62
2016-11-22,6.15,32.75,17.68,7.31,23.46
2016-11-23,6.13,32.55,17.37,7.3,23.65
2016-11-24,6.18,34.7,17.43,7.32,24.49
2016-11-25,6.32,34.24,17.44,7.39,24.94
2016-11-28,6.38,33.97,17.76,7.46,24.14
2016-11-29,6.56,34.73,17.5,7.68,25.39
2016-11-30,6.41,34.27,16.95,7.66,25.24
2016-12-08,6.6,32.08,17.28,7.39,24.8
2016-12-09,6.89,32.4,17.31,7.38,24.77
2016-12-12,6.9,31.45,17.22,7.28,24.36
2016-12-13,7.19,31.4,17.07,7.19,24.45
2016-12-14,6.89,31.54,16.69,7.15,23.97
2016-12-15,6.7,31.42,16.4,7.13,22.8
2016-12-16,6.51,31.36,16.09,7.12,23.14
2016-12-19,6.58,31.55,16.14,7.14,22.95
2016-12-20,6.35,31.29,16.11,7.06,22.94
2016-12-21,6.43,31.36,16.21,7.16,23.04
2016-12-22,6.31,31.48,16.1,7.2,23.43
2016-12-23,6.32,31.55,15.84,7.09,23.17
2016-12-26,6.2,31.2,15.72,7.14,23.08
2016-12-27,6.21,31.3,15.66,7.06,22.96
2016-12-28,6.24,31.1,15.72,7.06,23.15
2016-12-29,6.3,30.61,16.03,7.04,22.89
2016-12-30,6.35,31.35,16.19,7.05,23.48
2017-01-03,6.35,31.4,16.19,7.08,23.89
2017-01-04,6.47,31.58,16.3,7.1,24.3
2017-01-05,6.48,31.36,16.31,7.07,24.04
2017-01-06,6.61,31.05,16.4,7.09,23.91
2017-01-09,6.63,31.09,16.51,7.11,24.16
2017-01-10,6.8,30.89,16.65,7.14,24.01
2017-01-11,6.87,30.65,16.53,7.13,23.86
2017-01-12,6.79,29.76,16.46,7.1,23.95
2017-01-13,6.84,29.87,16.6,7.19,24.15
2017-01-16,6.96,29.99,16.88,7.36,24.65
2017-01-17,6.84,30.06,16.86,7.26,24.76
2017-01-18,7.0,30.18,17.05,7.23,24.99
2017-01-19,6.99,30.02,16.99,7.19,25.19
2017-01-20,6.93,30.29,17.1,7.24,25.2
2017-01-23,6.8,30.39,17.14,7.24,24.94
2017-02-27,7.31,30.56,16.88,7.59,25.48
2017-02-28,7.09,30.54,16.94,7.73,25.78
2017-03-01,7.08,30.59,16.88,7.71,25.8
2017-03-02,7.0,30.56,16.79,7.84,25.73
2017-03-03,6.85,30.57,16.67,7.9,25.73
2017-03-06,6.88,30.7,16.86,7.8,25.41
2017-03-07,6.82,30.83,16.86,7.73,25.3
2017-03-08,6.68,31.02,16.81,7.78,25.2
2017-03-09,6.65,30.7,16.6,7.76,24.8
2017-03-10,6.8,31.15,16.4,7.66,25.14
2017-03-13,6.83,31.62,16.51,7.75,24.85
2017-03-14,6.9,31.49,16.48,7.69,25.07
2017-03-15,6.88,31.55,16.78,7.72,25.06
2017-03-16,6.91,31.52,16.81,7.71,25.0
2017-03-17,6.72,31.03,16.69,7.56,24.37
2017-03-20,6.73,31.62,18.36,7.58,24.28
2017-03-21,6.68,32.36,19.89,7.75,24.67
2017-03-22,6.51,33.05,19.49,7.5,24.44
2017-03-23,6.46,32.81,19.34,7.27,24.97
2017-03-24,6.57,32.69,19.29,7.25,25.24
2017-03-27,6.49,32.45,19.08,7.15,25.07
2017-03-28,6.49,31.78,19.06,7.15,24.68
2017-03-29,6.53,31.66,19.15,7.09,24.65
2017-03-30,6.44,31.32,19.19,7.17,24.73
2017-03-31,6.51,31.61,19.36,7.17,25.38
2017-04-05,6.73,31.66,19.35,7.28,25.38
2017-04-06,6.74,31.79,19.17,7.31,25.77
2017-04-07,6.69,31.59,19.29,7.38,25.68
2017-04-10,6.71,31.1,19.61,7.44,25.4
2017-04-11,6.61,31.02,19.45,7.54,25.52
2017-04-12,6.55,31.23,19.25,7.43,25.62
2017-04-13,6.54,31.32,19.29,7.61,25.45
2017-04-14,6.55,31.12,19.24,7.58,25.42
2017-04-17,6.5,31.48,19.3,7.47,25.58
2017-04-18,6.4,31.78,19.22,7.59,26.01
2017-04-19,6.19,31.96,18.99,7.58,26.11
2017-04-20,6.22,32.68,18.98,7.38,27.15
2017-04-21,6.25,32.54,19.16,7.69,27.2
2017-04-24,6.05,32.1,19.3,7.54,27.23
2017-04-25,6.09,31.49,19.21,7.77,27.28
2017-04-26,6.16,31.71,19.15,7.8,27.73
2017-04-27,6.14,31.25,19.31,7.82,28.05
2017-04-28,6.24,31.03,19.47,7.8,27.25
2017-05-02,6.28,30.99,19.8,7.62,27.23
2017-05-03,6.22,30.94,20.07,7.47,27.83
2017-05-04,6.15,31.0,19.89,7.56,27.87
2017-05-05,6.05,31.07,19.78,7.56,27.98
2017-05-08,6.0,31.17,19.88,7.45,28.08
2017-05-09,5.97,30.81,19.74,7.93,27.19
2017-05-10,5.92,30.81,19.73,7.74,27.2
2017-05-11,5.87,30.92,19.78,7.79,27.55
2017-05-12,5.85,30.96,19.71,7.76,28.02
2017-05-15,5.9,31.51,20.27,7.88,27.97
2017-05-16,5.94,31.59,20.21,7.89,28.28
2017-05-17,5.96,31.13,20.05,7.89,28.17
2017-05-18,5.95,31.32,19.86,7.67,28.07
2017-05-19,5.99,31.69,19.98,7.79,28.48
2017-05-22,6.15,31.94,20.15,7.8,28.79
2017-05-23,6.28,32.45,20.97,7.66,29.23
2017-05-24,6.22,32.07,21.09,7.79,29.4
2017-05-25,6.41,32.16,21.44,7.85,29.34
2017-05-26,6.47,32.04,21.55,7.95,29.62
2017-05-31,6.34,32.29,21.42,7.79,30.07
2017-06-01,6.31,32.58,21.72,7.9,30.52
2017-06-02,6.36,32.4,22.29,8.01,30.29
2017-09-01,8.57,32.05,21.25,7.19,29.55
2017-09-04,8.64,31.99,22.54,7.12,29.6
2017-09-05,8.39,32.03,21.42,7.05,29.52
2017-09-06,8.39,32.12,21.44,7.05,29.24
2017-09-07,8.16,31.96,20.73,7.02,29.27
2017-09-08,8.02,31.92,20.99,7.01,29.22
2017-09-11,7.98,31.74,20.84,7.05,29.41
2017-09-12,8.04,31.34,21.57,6.97,29.87
2017-09-13,8.05,31.38,21.75,6.97,29.44
2017-09-14,7.76,31.67,21.18,6.97,29.05
2017-09-15,7.4,31.6,20.49,6.92,29.06
2017-09-18,7.37,31.7,20.4,6.97,29.6
2017-09-19,7.36,31.46,20.38,6.97,29.28
2017-09-20,7.43,31.53,20.52,7.0,29.23
2017-09-21,7.32,31.33,20.46,6.97,29.52
2017-09-22,7.17,31.32,20.62,6.93,30.31
2017-09-25,7.13,32.03,20.78,6.9,30.5
2017-09-26,7.27,31.85,21.23,6.9,30.46
2017-09-27,7.46,31.88,21.28,6.91,30.43
2017-09-28,7.34,32.08,21.24,6.9,30.42
